Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
總指數(指數基期：民國110年=100),1989M08,M,原始值,61.05
總指數(指數基期：民國110年=100),1989M08,M,年增率(%),3.32
總指數(指數基期：民國110年=100),1989M09,M,原始值,62.65
總指數(指數基期：民國110年=100),1989M09,M,年增率(%),5.68
總指數(指數基期：民國110年=100),1989M10,M,原始值,63.25
總指數(指數基期：民國110年=100),1989M10,M,年增率(%),5.95
總指數(指數基期：民國110年=100),1989M11,M,原始值,61.62
總指數(指數基期：民國110年=100),1989M11,M,年增率(%),3.75
總指數(指數基期：民國110年=100),1989M12,M,原始值,61.2
總指數(指數基期：民國110年=100),1989M12,M,年增率(%),3.13
總指數(指數基期：民國110年=100),1990M01,M,原始值,61.63
總指數(指數基期：民國110年=100),1990M01,M,年增率(%),3.86
總指數(指數基期：民國110年=100),1990M02,M,原始值,61.54
總指數(指數基期：民國110年=100),1990M02,M,年增率(%),2.81
總指數(指數基期：民國110年=100),1990M03,M,原始值,62
總指數(指數基期：民國110年=100),1990M03,M,年增率(%),3.32
總指數(指數基期：民國110年=100),1990M04,M,原始值,62.61
總指數(指數基期：民國110年=100),1990M04,M,年增率(%),3.42
總指數(指數基期：民國110年=100),1990M05,M,原始值,63.27
總指數(指數基期：民國110年=100),1990M05,M,年增率(%),3.74
總指數(指數基期：民國110年=100),1990M06,M,原始值,63.03
總指數(指數基期：民國110年=100),1990M06,M,年增率(%),3.62
總指數(指數基期：民國110年=100),1990M07,M,原始值,63.45
總指數(指數基期：民國110年=100),1990M07,M,年增率(%),4.81
總指數(指數基期：民國110年=100),1990M08,M,原始值,64.5
總指數(指數基期：民國110年=100),1990M08,M,年增率(%),5.65
總指數(指數基期：民國110年=100),1990M09,M,原始值,66.74
總指數(指數基期：民國110年=100),1990M09,M,年增率(%),6.53
總指數(指數基期：民國110年=100),1990M10,M,原始值,65.3
總指數(指數基期：民國110年=100),1990M10,M,年增率(%),3.24
總指數(指數基期：民國110年=100),1990M11,M,原始值,64.04
總指數(指數基期：民國110年=100),1990M11,M,年增率(%),3.93
總指數(指數基期：民國110年=100),1990M12,M,原始值,63.99
總指數(指數基期：民國110年=100),1990M12,M,年增率(%),4.56
總指數(指數基期：民國110年=100),1991M01,M,原始值,64.7
總指數(指數基期：民國110年=100),1991M01,M,年增率(%),4.98
總指數(指數基期：民國110年=100),1991M02,M,原始值,65.09
總指數(指數基期：民國110年=100),1991M02,M,年增率(%),5.77
總指數(指數基期：民國110年=100),1991M03,M,原始值,64.77
總指數(指數基期：民國110年=100),1991M03,M,年增率(%),4.47
總指數(指數基期：民國110年=100),1991M04,M,原始值,65.19
總指數(指數基期：民國110年=100),1991M04,M,年增率(%),4.12
總指數(指數基期：民國110年=100),1991M05,M,原始值,65.41
總指數(指數基期：民國110年=100),1991M05,M,年增率(%),3.38
總指數(指數基期：民國110年=100),1991M06,M,原始值,65.57
總指數(指數基期：民國110年=100),1991M06,M,年增率(%),4.03
總指數(指數基期：民國110年=100),1991M07,M,原始值,66.02
總指數(指數基期：民國110年=100),1991M07,M,年增率(%),4.05
總指數(指數基期：民國110年=100),1991M08,M,原始值,66.17
總指數(指數基期：民國110年=100),1991M08,M,年增率(%),2.59
總指數(指數基期：民國110年=100),1991M09,M,原始值,66.27
總指數(指數基期：民國110年=100),1991M09,M,年增率(%),-0.7
總指數(指數基期：民國110年=100),1991M10,M,原始值,66.92
總指數(指數基期：民國110年=100),1991M10,M,年增率(%),2.48
總指數(指數基期：民國110年=100),1991M11,M,原始值,67.12
總指數(指數基期：民國110年=100),1991M11,M,年增率(%),4.81
總指數(指數基期：民國110年=100),1991M12,M,原始值,66.48
總指數(指數基期：民國110年=100),1991M12,M,年增率(%),3.89
總指數(指數基期：民國110年=100),1992M01,M,原始值,67.14
總指數(指數基期：民國110年=100),1992M01,M,年增率(%),3.77
總指數(指數基期：民國110年=100),1992M02,M,原始值,67.73
總指數(指數基期：民國110年=100),1992M02,M,年增率(%),4.06
總指數(指數基期：民國110年=100),1992M03,M,原始值,67.82
總指數(指數基期：民國110年=100),1992M03,M,年增率(%),4.71
總指數(指數基期：民國110年=100),1992M04,M,原始值,68.92
總指數(指數基期：民國110年=100),1992M04,M,年增率(%),5.72
總指數(指數基期：民國110年=100),1992M05,M,原始值,69.15
總指數(指數基期：民國110年=100),1992M05,M,年增率(%),5.72
總指數(指數基期：民國110年=100),1992M06,M,原始值,68.96
總指數(指數基期：民國110年=100),1992M06,M,年增率(%),5.17
總指數(指數基期：民國110年=100),1992M07,M,原始值,68.46
總指數(指數基期：民國110年=100),1992M07,M,年增率(%),3.7
總指數(指數基期：民國110年=100),1992M08,M,原始值,68.15
總指數(指數基期：民國110年=100),1992M08,M,年增率(%),2.99
總指數(指數基期：民國110年=100),1992M09,M,原始值,70.35
總指數(指數基期：民國110年=100),1992M09,M,年增率(%),6.16
總指數(指數基期：民國110年=100),1992M10,M,原始值,70.32
總指數(指數基期：民國110年=100),1992M10,M,年增率(%),5.08
總指數(指數基期：民國110年=100),1992M11,M,原始值,69.2
總指數(指數基期：民國110年=100),1992M11,M,年增率(%),3.1
總指數(指數基期：民國110年=100),1992M12,M,原始值,68.75
總指數(指數基期：民國110年=100),1992M12,M,年增率(%),3.41
總指數(指數基期：民國110年=100),1993M01,M,原始值,69.59
總指數(指數基期：民國110年=100),1993M01,M,年增率(%),3.65
總指數(指數基期：民國110年=100),1993M02,M,原始值,69.8
總指數(指數基期：民國110年=100),1993M02,M,年增率(%),3.06
總指數(指數基期：民國110年=100),1993M03,M,原始值,70.02
總指數(指數基期：民國110年=100),1993M03,M,年增率(%),3.24
總指數(指數基期：民國110年=100),1993M04,M,原始值,70.83
總指數(指數基期：民國110年=100),1993M04,M,年增率(%),2.77
總指數(指數基期：民國110年=100),1993M05,M,原始值,70.59
總指數(指數基期：民國110年=100),1993M05,M,年增率(%),2.08
總指數(指數基期：民國110年=100),1993M06,M,原始值,71.96
總指數(指數基期：民國110年=100),1993M06,M,年增率(%),4.35
